id,ukb_variable_description,number_participants,link
p26063,Animal fat spread normal,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26063
p26064,Added sugars and preserves,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26064
p26065,Allium vegetables,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26065
p26066,Beef,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26066
p26067,Beer and cider,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26067
p26068,Biscuits,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26068
p26069,Breaded/battered chicken,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26069
p26070,Breaded/battered fish,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26070
p26071,"Mixed bread (50/50), brown and seeded",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26071
p26072,Other bread,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26072
p26073,White bread,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26073
p26074,Wholemeal bread,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26074
p26075,Biscuit cereal,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26075
p26076,Bran cereal,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26076
p26077,Oat cereal (non sugar),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26077
p26078,Oat cereal (sugar),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26078
p26079,Other cereal (sugar),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26079
p26080,Chocolate confectionery,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26080
p26081,"Coffee, caffeinated",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26081
p26082,"Coffee, decaffeinated",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26082
p26083,Savoury crackers,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26083
p26084,Milk-dairy desserts,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26084
p26085,Other desserts and cakes and pastries,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26085
p26086,Soy desserts and yogurt,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26086
p26087,Milk-based and powdered drinks,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26087
p26088,Egg and egg dishes,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26088
p26089,Apples and pears,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26089
p26090,Berries,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26090
p26091,Citrus,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26091
p26092,Dried fruit,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26092
p26093,Other fruit,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26093
p26094,Stewed fruit,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26094
p26095,Fruit juice,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26095
p26096,Full fat yogurt,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26096
p26097,Grain dishes - added fat,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26097
p26098,Green leafy/cabbages,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26098
p26099,High fat cheese,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26099
p26100,Lamb,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26100
p26101,Legumes and pulses,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26101
p26102,Low fat yogurt,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26102
p26103,Medium and low fat cheese,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26103
p26104,"Other meat, offal",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26104
p26105,Muesli,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26105
p26106,Nut-based spreads,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26106
p26107,Unsalted nuts and seeds,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26107
p26108,Salted nuts and seeds,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26108
p26109,Oily fish,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26109
p26110,Olive oil (drizzling/dunking),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26110
p26111,Plant-based spread lower fat,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26111
p26112,Plant-based spread normal,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26112
p26113,White pasta and rice,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26113
p26114,"Wholemeal pasta, brown rice and other wholegrains",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26114
p26115,Peas and sweetcorn,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26115
p26116,Pizza,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26116
p26117,Pork,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26117
p26118,Potatoes and sweet potatoes (baked/boiled),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26118
p26119,Fried/roast potatoes,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26119
p26120,Mashed potatoes,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26120
p26121,Poultry,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26121
p26122,Processed meat,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26122
p26123,Raw salad,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26123
p26124,Rice/oat milk,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26124
p26125,Root vegetables,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26125
p26126,Low/non sugar sugar-sweetened beverages,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26126
p26127,Sugar-sweetened beverages and other sugary drinks,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26127
p26128,"Samosa, pakora",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26128
p26129,Sauces and condiments (high fat),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26129
p26130,Sauces and condiments (low fat),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26130
p26131,Semi skimmed milk,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26131
p26132,Shellfish,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26132
p26133,Skimmed milk and cholesterol-lowering milk,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26133
p26134,Savoury snacks,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26134
p26135,Soups,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26135
p26136,Soy milk,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26136
p26137,Meat substitutes - soy,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26137
p26138,Spirits,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26138
p26139,Sushi,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26139
p26140,Other sweets,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26140
p26141,Tea,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26141
p26142,"Tea, decaffeinated",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26142
p26143,Tomatoes,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26143
p26144,Vegetable dips,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26144
p26145,Meat substitutes - vegetarian,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26145
p26146,"Other vegetables, including mushrooms, fruiting and mixed vegetables",210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26146
p26147,Vegetable side dishes,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26147
p26148,Water (still and sparkling),210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26148
p26149,White fish and tinned tuna,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26149
p26150,Whole milk,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26150
p26151,Fortified wine,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26151
p26152,Red wine,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26152
p26153,White wine,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26153
p26154,Cream,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26154
p26155,Trans fatty acids,210965,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26155
p26410,Index of Multiple Deprivation (England),432645,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26410
p26426,Index of Multiple Deprivation (Wales),21184,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26426
p26427,Index of Multiple Deprivation (Scotland),35846,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=26427
p41076,"Episodes containing ""Diagnoses - secondary ICD9"" data",8709,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41076
p41077,"Episodes containing ""Diagnoses - secondary ICD9 addendum"" data",-1,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41077
p41078,"Episodes containing ""Diagnoses - secondary ICD10"" data",346118,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41078
p41079,"Episodes containing ""Diagnoses - secondary ICD10 addendum"" data",4742,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41079
p41080,"Episodes containing ""Operative procedures - secondary OPCS4"" data",367365,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41080
p41081,"Episodes containing ""Operative procedures - secondary OPCS4 addendum"" data",-1,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41081
p41124,"Episodes containing ""Mother age on date of delivery"" data",11063,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41124
p41125,"Episodes containing ""Number of previous pregnancies"" data",16613,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41125
p41132,"Episodes containing ""Episode type"" data",366310,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41132
p41142,"Episodes containing ""Diagnoses - main ICD10"" data",410193,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41142
p41143,"Episodes containing ""Diagnoses - main ICD10 - addendum"" data",3296,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41143
p41144,"Episodes containing ""Diagnoses - main ICD9"" data",20297,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41144
p41145,"Episodes containing ""Diagnoses - main ICD9 - addendum"" data",-1,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41145
p41146,"Episodes containing ""Operative procedure - main OPCS4"" data",410134,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41146
p41147,"Episodes containing ""Operative procedure - main OPCS4 - addendum"" data",-1,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41147
p41148,"Episodes containing ""Date of operation"" data",397395,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41148
p41200,Operative procedures - main OPCS4,440159,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200
p41202,Diagnoses - main ICD10,440013,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202
p41203,Diagnoses - main ICD9,20299,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41203
p41204,Diagnoses - secondary ICD10,388182,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41204
p41205,Diagnoses - secondary ICD9,8712,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41205
p41210,Operative procedures - secondary OPCS4,408332,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41210
p41252,"Episodes containing ""Inpatient record format"" data",413552,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41252
p41253,Inpatient record format,442992,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41253
p41254,"Episodes containing ""Inpatient record origin""",413552,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41254
p41260,Date of first operative procedure - main OPCS4,440153,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41260
p41262,Date of first in-patient diagnosis - main ICD10,440010,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41262
p41263,Date of first in-patient diagnosis - main ICD9,20299,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41263
p41270,Diagnoses - ICD10,440017,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41270
p41271,Diagnoses - ICD9,20299,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41271
p41272,Operative procedures - OPCS4,440159,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41272
p42000,Date of myocardial infarction,27928,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42000
p42001,Source of myocardial infarction report,27928,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42001
p42002,Date of STEMI,7609,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42002
p42003,Source of STEMI report,7609,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42003
p42004,Date of NSTEMI,11898,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42004
p42005,Source of NSTEMI report,11898,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42005
p42006,Date of stroke,18175,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42006
p42007,Source of stroke report,18175,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42007
p42008,Date of ischaemic stroke,10698,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42008
p42009,Source of ischaemic stroke report,10698,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42009
p100001,Food weight,210977,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=100001
p100002,Energy,210977,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=100002
p104280,Pea intake,51147,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=104280
p131668,Date K75 first reported (other inflammatory liver diseases),3171,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131668
p131669,Source of report of K75 (other inflammatory liver diseases),3171,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131669
p131670,Date K76 first reported (other diseases of liver),14708,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131670
p131671,Source of report of K76 (other diseases of liver),14708,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131671
p131674,Date K80 first reported (cholelithiasis),33836,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131674
p131675,Source of report of K80 (cholelithiasis),33836,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131675
p131676,Date K81 first reported (cholecystitis),6509,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131676
p131677,Source of report of K81 (cholecystitis),6509,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131677
